,TotPs,AccLB,InAccLB,AccSP,InAccSP
478,8.6,0.3,0.6,5.8,1.8
479,40,1.3,1.6,34.4,2.7
480,12,0.4,0.9,9.4,1.3
481,5.3,-,-,4,1.3
482,4.5,0.1,0.1,3.8,0.6
483,8.7,1,0.7,6,1
484,10.9,0.4,0.3,9.2,1
485,8.3,0.1,0.1,6.2,1.8
486,7.2,0.2,-,4,3
487,15.5,0.5,0.5,13.5,1
488,27.4,0.4,1.8,21.2,4
489,11.9,0.2,0.8,9.6,1.3
490,7.6,0.1,0.7,5.4,1.3
491,11.8,0.3,0.4,9,2
492,19,1.2,1.2,15.2,1.4
493,9.5,0.5,0.5,6.3,2.3
494,7,0.4,0.1,4.9,1.6
495,23.6,0.5,1.2,17.9,4
496,5,0.1,0.1,3.6,1.2
497,6.6,0.1,-,4.6,1.9
498,25.5,0.5,0.8,21.5,2.8
499,4,-,-,3,1
500,23.6,0.2,0.4,18.4,4.6
501,6.7,-,0.2,5.8,0.7
502,6.5,0.3,0.4,4.4,1.4
503,8.6,1,0.7,6.3,0.6
504,13.5,0.5,-,11.5,1.5
505,6.5,0.2,0.1,5.2,0.9
506,14.5,0.6,0.2,12.2,1.6
507,6.3,0.1,0.2,4.6,1.4
508,5,-,0.1,3.2,1.8
509,4,1,-,3,-
510,8,-,-,7,1
511,9.9,0.1,0.3,7.7,1.8
512,8.8,0.4,0.2,5.8,2.4
513,16.5,-,0.5,13.5,2.5
514,3,-,-,2.5,0.5
515,13.5,0.6,0.5,10,2.5
516,9.8,0.2,0.2,6.3,3.2
517,1,-,-,1,-
518,9,-,-,9,-
519,3,-,-,1,2
520,8.4,0.2,0.4,7,0.8
521,18.8,0.2,-,16.3,2.3
522,7,-,0.5,5.5,1
523,30.5,1.8,0.3,25,3.5
524,14,-,1,12.3,0.7
525,12.9,-,0.1,9.9,2.9
526,10.4,1.1,0.6,6.9,1.7
527,12.2,0.6,0.6,8.6,2.4
528,4,-,-,2.3,1.7
529,28.7,0.7,0.3,22.3,5.3
530,17.7,1.4,2,12,2.2
531,3,-,-,1.7,1.3
532,20.8,0.5,-,18.5,1.8
533,7.7,0.2,1,5.8,0.7
534,20.6,0.5,0.5,17.1,2.5
535,3.3,-,-,2.9,0.4
536,2,-,-,1.3,0.7
537,5.4,0.2,0.4,4.2,0.6
538,3.3,0.3,1,1.7,0.3
539,22,0.7,1,18,2.3
540,4.9,0.2,0.3,2.7,1.7
541,13.3,0.2,0.2,9.8,3.2
542,12.7,0.1,-,10,2.6
543,8.7,0.1,0.2,6.2,2.2
544,3.4,-,0.1,1.9,1.3
545,8.4,0.1,0.1,7.4,0.8
546,12.7,0.7,0.2,9.9,1.9
547,8.4,0.6,0.4,6.2,1.2
548,8.8,0.2,0.3,6.5,1.8
549,5,0.1,-,2.7,2.2
550,8.6,0.4,0.1,6.8,1.2
551,12,-,-,11,1
552,9.6,0.4,-,8,1.1
553,5.7,-,-,5,0.7
554,15.4,0.6,1,12.8,1
555,3.7,-,-,2.7,1
556,10,1,1,6,2
557,2.9,0.1,0.1,1.9,0.9
558,5.8,0.1,0.5,3,2.1
559,6.6,0.1,0.1,5.6,0.8
560,5.6,0.1,0.1,3.2,2.2
561,4.8,-,-,3,1.8
562,7.5,0.5,-,7,-
563,39,1.3,2.3,33,2.3
564,6,-,-,5.8,0.3
565,4,-,-,3,1
