,Name,Club,Age,Height,National,Positions
252,Abdel Abqar,Deportivo Alaves,26 years old (10-03-1999),188cm,Morocco,Defender (Centre)
253,Adrián Pica,Deportivo Alaves,23 years old (25-04-2002),190cm,,Defender (Centre)
254,Abel Bretones,Osasuna,24 years old (21-08-2000),188cm,Spain,Defender (Left)
255,Alfon González,Celta Vigo,25 years old (04-05-1999),172cm,Spain,Attacking Midfielder (Left)
256,Jesús Areso,Osasuna,25 years old (02-07-1999),182cm,Spain,Defender (Right)
257,Vicente Guaita,Celta Vigo,38 years old (10-01-1987),190cm,Spain,Goalkeeper
258,David López,Girona,35 years old (09-10-1989),185cm,Spain,"Defender (Centre), Defensive Midfielder (C)"
259,Aritz Elustondo,Real Sociedad,31 years old (28-03-1994),180cm,Spain,"Defender (Centre, Right)"
260,Thierry Correia,Valencia,26 years old (09-03-1999),176cm,Portugal,"Defender (Right), Midfielder (Right)"
261,Borja Iglesias,Celta Vigo,32 years old (17-01-1993),187cm,Spain,Forward
262,Logan Costa,Villarreal,24 years old (01-04-2001),190cm,France,Defender (Centre)
263,Javi Guerra,Valencia,21 years old (13-05-2003),187cm,Spain,Midfielder (Centre)
264,Youssouf Sabaly,Real Betis,32 years old (05-03-1993),174cm,Senegal,"Defender (Left, Right), Midfielder (Right)"
265,Lucien Agoumé,Sevilla,23 years old (09-02-2002),185cm,France,Defensive Midfielder (C)
266,Seydouba Cissé,Leganes,24 years old (10-02-2001),177cm,Guinea,Midfielder (Centre)
267,Toni Martínez,Deportivo Alaves,27 years old (30-06-1997),187cm,Spain,Forward
268,Frenkie de Jong,Barcelona,27 years old (12-05-1997),181cm,Netherlands,"Defender (Centre), Defensive Midfielder (C)"
269,Lucas Rosa,Ajax,25 years old (03-04-2000),176cm,Brazil,"Defender (Left, Right)"
270,Brais Méndez,Real Sociedad,28 years old (07-01-1997),187cm,Spain,"Attacking Midfielder (Centre, Right), Forward"
271,Sergi Altimira,Real Betis,23 years old (25-08-2001),188cm,Spain,Defensive Midfielder (C)
272,Gorka Guruzeta,Athletic Club,28 years old (12-09-1996),188cm,Spain,Forward
273,Alejandro Francés,Girona,22 years old (01-08-2002),181cm,Spain,Defender (Right)
274,Kike Pérez,Venezia,28 years old (14-02-1997),184cm,Spain,Midfielder (Centre)
275,Maroan Sannadi,Athletic Club,24 years old (01-02-2001),192cm,,Forward
276,Jofre Carreras,Espanyol,23 years old (17-06-2001),175cm,Spain,"Attacking Midfielder (Left, Right)"
277,Paulo Gazzaniga,Girona,33 years old (02-01-1992),195cm,Argentina,Goalkeeper
278,Juanlu Sánchez,Sevilla,21 years old (15-08-2003),183cm,Spain,"Defender (Right), Midfielder (Centre)"
279,Cristhian Mosquera,Valencia,20 years old (27-06-2004),188cm,Spain,Defender (Centre)
280,Giorgi Mamardashvili,Valencia,24 years old (29-09-2000),197cm,Georgia,Goalkeeper
281,Ilaix Moriba,Celta Vigo,22 years old (19-01-2003),165cm,Guinea,Defensive Midfielder (C)
282,Fran Vieites,Real Betis,25 years old (07-05-1999),196cm,,Goalkeeper
283,Djibril Sow,Sevilla,28 years old (06-02-1997),183cm,Switzerland,Midfielder (Centre)
