,Name,Club,Age,Height,National,Positions
243,Mostafa Mohamed,Nantes,27 years old (28-11-1997),185cm,,Forward
244,Irvin Cardona,Saint-Etienne,27 years old (08-08-1997),185cm,France,"Attacking Midfielder (Left, Right), Forward"
245,Koka,Le Havre,32 years old (05-03-1993),191cm,Egypt,Forward
246,Nemanja Matic,Lyon,36 years old (01-08-1988),194cm,Serbia,Defensive Midfielder (C)
247,Akor Adams,Sevilla,25 years old (29-01-2000),190cm,Nigeria,Forward
248,Moïse Bombito,Nice,25 years old (30-03-2000),190cm,Canada,Defender (Centre)
249,Modibo Sagnan,Montpellier,26 years old (14-04-1999),187cm,France,Defender (Centre)
250,Massadio Haïdara,Brest,32 years old (02-12-1992),179cm,Mali,"Defender (Centre, Left), Midfielder (Left)"
251,Goduine Koyalipou,Lens,25 years old (15-02-2000),184cm,France,Forward
252,Saël Kumbedi,Lyon,20 years old (26-03-2005),175cm,France,"Defender (Right), Midfielder (Right)"
253,Senny Mayulu,Paris Saint-Germain,18 years old (17-05-2006),183cm,France,Midfielder (Centre)
254,Badredine Bouanani,Nice,20 years old (08-12-2004),177cm,France,"Attacking Midfielder (Centre, Right)"
255,Ayyoub Bouaddi,Lille,17 years old (02-10-2007),186cm,France,Defensive Midfielder (C)
256,Amine Gouiri,Marseille,25 years old (16-02-2000),180cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
257,Kazeem Olaigbe,Rennes,22 years old (02-01-2003),178cm,Belgium,"Attacking Midfielder (Centre, Left, Right), Forward"
258,Mama Baldé,Brest,29 years old (06-11-1995),176cm,Guinea-Bissau,"Defender (Right), Midfielder (Centre, Left, Right), Forward"
259,Mousa Al Ta'mari,Rennes,27 years old (10-06-1997),175cm,Jordan,"Midfielder (Left, Right), Forward"
260,Abdallah Sima,Brest,23 years old (17-06-2001),188cm,Senegal,"Attacking Midfielder (Left, Right), Forward"
261,Pablo Rosario,Nice,28 years old (07-01-1997),188cm,Netherlands,"Defender (Centre, Right), Defensive Midfielder (C)"
