Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Mads Roerslev,11(8),1097,-,2,2,-,0.3,82.1,0.5,-,6.38
Santiago Bueno,17(8),1579,-,-,2,-,0.2,88,1.4,-,6.37
Séamus Coleman,2(1),197,-,-,1,-,0.3,71.9,0.3,-,6.37
David Brooks,8(16),787,2,-,3,-,0.9,79.9,0.3,-,6.37
Jack Clarke,9(17),952,-,4,2,-,0.5,79.1,0.2,-,6.37
Julio Enciso,2(10),288,-,-,-,-,1.7,73.8,0.5,-,6.37
Caleb Okoli,12(6),1125,1,-,4,-,0.2,86.6,1.3,-,6.36
Nathan Broadhead,6(10),600,1,-,1,-,0.6,80,0.1,-,6.36
Carlos Vinícius,0(1),3,-,-,-,-,1,-,-,-,6.36
Michail Antonio,11(3),845,1,1,1,-,1.4,70.8,1.2,-,6.36
Christian Walton,6,540,-,-,-,-,-,62.8,0.3,-,6.36
Igor Thiago,1(3),130,-,-,-,-,0.3,73.7,1,-,6.36
Josh King,1(4),79,-,-,-,-,0.2,88.9,-,-,6.36
Adam Smith,15(5),1244,-,-,5,-,0.1,77.5,0.6,-,6.35
Conor Bradley,3(11),456,-,1,2,-,0.6,85,0.5,-,6.35
Harry Amass,1(1),76,-,-,-,-,0.5,87.5,1,-,6.35
Patrick Dorgu,5(1),438,-,-,1,1,1.3,85.2,1.5,-,6.34
Guido Rodríguez,14(6),1026,-,-,5,-,0.4,84.6,0.4,-,6.34
Yehor Yarmoliuk,9(16),957,-,-,4,-,0.4,87,0.3,-,6.34
Harry Winks,17(5),1541,-,2,4,-,0.5,88.9,0.4,-,6.33
Simon Adingra,8(15),817,2,1,-,-,1,81.1,0.2,-,6.33
Radu Dragusin,14(2),1254,-,-,1,-,0.3,85.2,2.1,-,6.33
Morato,5(17),744,-,-,2,-,0.1,74.8,0.2,-,6.33
Willy-Arnaud Boly,1(5),147,-,-,1,-,0.2,78.6,1,-,6.33
Luke Thomas,7(1),604,-,-,1,-,0.4,84.2,0.9,-,6.33
Igor Julio,9(3),901,-,-,4,-,0.1,92.7,0.7,-,6.33
Filip Jørgensen,6,540,-,-,-,-,-,82.4,0.2,-,6.33
Welington,3(3),209,-,-,1,-,0.2,79.3,-,-,6.33
Lesley Ugochukwu,13(8),1276,-,1,5,-,0.4,85.5,0.7,-,6.33
Tyrique George,0(5),84,-,1,1,-,0.4,87.2,-,-,6.32
Antony,0(8),135,-,-,-,-,0.8,81.4,-,-,6.32
Ben Chilwell,0(6),136,-,-,1,-,0.3,64.9,0.5,-,6.32
Leny Yoro,10(7),966,-,-,5,-,0.3,92.6,0.6,-,6.32
James McAtee,1(11),217,3,-,1,-,0.9,83.1,0.1,-,6.32
Tim Iroegbunam,5(10),547,-,1,3,-,0.3,73.9,0.5,-,6.32
Luke Shaw,0(3),80,-,-,-,-,-,87.8,-,-,6.32
Pedro Lima,1(2),70,-,-,-,-,0.3,76.9,-,-,6.32
Joshua Zirkzee,14(18),1395,3,1,2,-,0.9,72.1,0.7,-,6.32
Max Aarons,1(2),86,-,-,-,-,-,80.4,-,-,6.32
Mats Wieffer,4(15),505,1,2,4,-,0.3,86.9,1.1,1,6.32
Sam Szmodics,13(6),988,4,-,2,-,1.1,76.8,0.3,-,6.32
Issa Diop,15(6),1336,-,-,2,-,0.2,87.5,1,-,6.32
Jakub Kiwior,4(7),577,-,-,-,-,0.2,89.2,0.6,-,6.31
Boubakary Soumaré,21(4),1819,-,-,8,-,0.3,87.5,0.7,-,6.31
Lamare Bogarde,5(3),476,-,-,2,-,0.1,88.1,0.8,-,6.31
Kieran Tierney,1(7),155,-,-,-,-,0.1,89.4,0.5,-,6.30
Chiedozie Ogbene,3(2),240,-,-,-,-,-,79.5,0.2,-,6.30
Danny Ings,1(14),274,1,2,-,-,0.9,71.6,0.5,-,6.29
Timo Werner,4(14),508,-,3,-,-,0.4,74.2,-,-,6.29
