,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
160,0.4,0.1,-,0.1,-,0.4,-,0.1,0.3,0.1,0.1,0.1,0.4,0.1,4.4,3,1.4
161,1.5,0.1,-,-,0.1,1.5,0.9,-,0.6,4,2.2,1.8,2.1,1.4,0.9,0.2,0.7
162,0.7,0.2,-,0.2,-,0.7,0.3,-,0.4,1.6,0.9,0.7,1.2,1,0.5,0.1,0.4
163,0.2,-,-,-,-,0.2,-,-,0.2,0.5,0.3,0.3,0.5,0.1,2.1,1.2,0.8
164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165,-,-,-,-,-,-,-,-,-,0.3,0.3,0.1,0.3,0.3,4.2,2.6,1.6
166,0.9,0.1,-,0.1,-,0.9,0.1,0.1,0.7,1.5,0.8,0.7,2,0.9,1.3,0.4,1
167,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-
168,0.7,-,-,-,-,0.7,0.3,0.1,0.3,1.2,0.7,0.5,0.8,0.7,0.9,0.4,0.5
169,1.2,-,-,-,-,1.2,0.4,0.2,0.6,1.7,0.8,0.9,0.7,0.4,0.3,-,0.3
170,0.1,-,-,-,-,0.1,0.1,-,-,1,0.6,0.4,1.2,0.5,1.4,0.5,1
171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
172,0.4,0.1,0.1,-,-,0.4,-,0.1,0.3,0.4,0.2,0.2,0.4,0.2,1.6,1.1,0.6
173,1.4,0.1,-,0.1,-,1.4,0.3,0.1,1,2.8,2,0.8,2.7,1,1.7,0.6,1.1
174,1,-,-,-,-,1,0.4,-,0.5,1.5,1,0.5,1.7,0.7,2.4,1.5,0.9
175,1,0.1,-,-,-,1,0.4,-,0.6,1.1,0.6,0.5,1.2,0.6,2.4,1.5,0.9
176,-,-,-,-,-,-,-,-,-,0.1,-,0.1,0.1,-,0.6,0.5,0.2
177,1.8,0.2,0.1,0.1,-,1.8,0.4,0.3,1.1,1.3,0.9,0.4,1.8,0.7,1.6,0.6,1
178,0.9,0.2,0.2,0.1,-,0.9,0.3,0.2,0.4,1.2,0.8,0.4,0.8,0.6,0.4,0.1,0.3
179,1.6,0.1,-,-,-,1.6,0.4,-,1.2,4,2.3,1.7,2.1,1.7,1.2,0.2,1
180,1,0.1,-,0.1,-,1,0.5,-,0.5,1,0.5,0.5,0.8,0.5,0.6,0.1,0.5
181,1.2,0.3,-,0.3,-,1.2,0.3,-,0.8,1.8,1.2,0.7,0.8,0.3,0.5,-,0.5
182,0.2,-,-,-,-,0.2,-,-,0.2,0.6,0.2,0.4,0.8,0.4,1.1,0.7,0.4
183,0.1,-,-,-,-,0.1,-,-,-,0.1,-,0.1,0.3,0.1,1.9,1.2,0.8
184,1.4,0.2,-,0.2,-,1.4,0.1,0.3,1,0.8,0.5,0.4,1.1,0.3,2,1.3,0.7
185,0.9,0.1,-,0.1,-,0.9,0.2,-,0.7,2.9,1.6,1.3,1.4,0.8,0.3,-,0.3
186,1,0.5,-,-,0.5,1,1,-,-,-,-,-,0.5,0.5,2,0.5,1.5
187,1,-,-,-,-,1,0.4,0.1,0.5,1,0.7,0.4,1,0.5,2,1.2,0.8
188,1.1,0.1,-,0.1,-,1.1,0.6,-,0.5,1.8,0.7,1.2,1.2,0.7,1.2,0.3,0.8
189,0.2,-,-,-,-,0.2,0.2,-,-,0.8,0.5,0.3,1,0.9,1.7,0.6,1
190,1.4,0.1,-,-,0.1,1.4,0.8,0.1,0.6,1.4,0.8,0.7,0.8,1.6,1.4,0.8,0.7
191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.4,0.1
192,0.9,-,-,-,-,0.9,0.4,-,0.5,1.1,0.7,0.5,1,0.6,1.5,0.7,0.9
193,0.5,-,-,-,-,0.5,0.4,-,-,1.1,0.5,0.6,0.9,0.5,1.7,0.8,1
194,0.1,-,-,-,-,0.1,0.1,-,-,0.3,0.2,0.1,0.3,0.1,1.5,0.8,0.7
195,1.8,0.2,-,0.2,-,1.8,0.1,0.3,1.4,1.5,1,0.5,2.2,1.9,2.1,1.1,1
196,1.6,-,-,-,-,1.6,0.3,0.1,1.2,1.3,0.8,0.6,0.7,0.8,2.4,1.5,0.9
197,0.4,-,-,-,-,0.4,0.2,-,0.2,1.1,0.8,0.3,1.1,0.4,1.4,0.8,0.6
198,0.5,0.2,0.1,0.1,-,0.5,0.1,0.2,0.2,0.3,0.1,0.2,0.7,0.4,3.6,2,1.6
