,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
584,0.2,-,-,-,-,0.2,-,-,0.2,0.8,0.5,0.3,0.5,0.6,1.2,0.3,0.9
585,0.8,0.1,0.1,-,-,0.8,0.1,0.1,0.5,0.5,0.3,0.3,1.6,1.3,2.5,0.4,2.1
586,0.5,-,-,-,-,0.5,0.5,-,-,0.5,0.5,-,1,1.5,2,0.5,1.5
587,0.1,0.1,-,0.1,-,0.1,-,-,0.1,0.4,0.3,0.1,0.3,0.3,0.7,0.2,0.5
588,0.3,-,-,-,-,0.3,0.3,-,-,-,-,-,0.2,-,0.7,0.3,0.3
589,-,-,-,-,-,-,-,-,-,0.3,-,0.3,-,0.5,0.3,-,0.3
590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.3,0.1
591,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,0.2
592,0.3,-,-,-,-,0.3,0.3,-,-,0.7,0.7,-,-,-,0.3,0.3,-
