,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
176,0.7,0.2,-,0.1,-,0.7,0.4,-,0.3,0.3,-,0.3,0.7,0.3,1.3,0.7,0.5
177,0.8,0.1,-,0.1,-,0.8,0.3,-,0.4,1.2,0.7,0.5,1,0.3,1.2,0.4,0.8
178,1.6,0.4,0.2,0.3,-,1.6,0.3,0.2,1.2,1.7,0.8,0.8,2.8,1.8,3.4,1.8,1.7
179,0.5,-,-,-,-,0.5,0.5,-,-,0.5,0.3,0.2,0.4,0.1,1.5,0.8,0.6
180,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.2,-
181,0.2,0.1,-,0.1,-,0.2,-,-,0.2,-,-,-,0.1,0.1,2.2,1.3,0.9
182,0.4,0.1,-,-,-,0.4,-,0.1,0.3,0.1,-,0.1,0.2,0.1,3.5,1.8,1.8
183,0.6,-,-,-,-,0.6,0.3,-,0.3,0.9,0.5,0.4,0.8,0.6,1.9,1.1,0.8
184,0.7,0.1,-,0.1,-,0.7,0.2,0.1,0.4,1.2,0.6,0.6,0.8,0.4,1.7,1,0.7
185,0.8,-,-,-,-,0.8,0.3,0.1,0.4,0.2,0.1,0.1,0.2,0.1,2.1,1.2,0.9
186,0.3,-,-,-,-,0.3,0.1,-,0.1,0.7,0.6,0.1,0.4,0.3,0.8,0.3,0.5
187,1.3,0.1,-,-,-,1.3,0.3,0.1,1,1.4,0.8,0.7,1,0.6,0.9,0.5,0.4
188,0.7,0.1,0.1,0.1,-,0.7,0.2,0.1,0.4,0.7,0.3,0.4,0.5,0.7,2.4,1.5,0.9
189,1,-,-,-,-,1,0.6,-,0.3,0.8,0.2,0.5,1,0.7,1.4,0.6,0.8
190,1.5,-,-,-,-,1.5,1,-,0.5,2,1.1,1,1.2,0.6,1.9,1,0.9
191,0.4,0.2,-,0.2,-,0.4,0.1,0.1,0.3,0.4,0.4,0.1,0.4,0.1,2.3,1.2,1.1
192,0.8,-,-,-,-,0.8,0.2,0.1,0.5,2.9,1.4,1.5,2,1.5,0.6,0.2,0.4
193,0.2,-,-,-,-,0.2,0.1,-,0.1,0.8,0.4,0.4,0.4,0.3,1.3,0.6,0.7
194,1.4,-,-,-,-,1.4,0.4,-,1,2.1,1.3,0.9,1.8,0.6,1.3,0.7,0.6
195,0.9,0.1,-,0.1,-,0.9,0.1,0.2,0.6,1.6,0.8,0.8,1.4,0.8,0.6,0.1,0.5
196,0.1,-,-,-,-,0.1,0.1,-,-,0.7,0.4,0.3,1,0.2,1.4,0.6,0.8
197,2,0.4,0.1,0.2,-,2,0.8,0.1,1.1,1.9,1.2,0.7,2.1,0.9,1.1,0.3,0.9
198,1,0.2,-,0.1,-,1,0.2,-,0.8,2.9,1.7,1.2,1.3,0.5,0.6,0.3,0.3
199,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.1,0.1
200,0.7,-,-,-,-,0.7,-,-,0.7,0.3,-,0.3,-,-,2.7,1,1.7
201,0.3,-,-,-,-,0.3,-,-,0.3,0.5,-,0.5,0.5,-,3.5,3,0.5
202,1.8,0.1,-,0.1,-,1.8,0.5,0.1,1.3,0.8,0.5,0.3,1.6,0.4,0.7,0.2,0.5
203,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.3,0.3,-
204,1.2,0.2,0.1,0.1,-,1.2,0.3,0.2,0.7,2.2,1.5,0.7,1.7,0.7,1.9,0.4,1.5
205,1,-,-,-,-,1,0.7,-,0.2,0.7,0.2,0.5,1.5,0.9,2.5,1.2,1.3
206,0.5,-,-,-,-,0.5,0.4,-,0.1,1.4,0.7,0.7,1,0.8,1.6,0.9,0.7
207,0.4,-,-,-,-,0.4,0.1,-,0.3,0.1,-,0.1,0.3,-,5.7,2.4,3.3
